order_detail_id,order_id,product_id,quantity,discount
1,1,45,1,5.0
2,2,36,3,15.0
3,2,44,2,5.0
4,3,20,1,5.0
5,4,45,1,10.0
6,5,23,2,10.0
7,6,45,1,5.0
8,6,23,3,5.0
9,6,40,2,5.0
10,7,22,1,5.0
11,8,11,2,0.0
12,8,28,1,10.0
13,9,56,1,10.0
14,10,18,1,0.0
15,10,3,1,0.0
16,11,20,2,10.0
17,12,32,2,5.0
18,13,5,1,15.0
19,14,56,2,5.0
20,14,40,1,5.0
21,14,53,3,10.0
22,14,44,3,5.0
23,15,6,1,15.0
24,15,51,4,5.0
25,16,54,4,10.0
26,17,8,1,0.0
27,18,25,2,10.0
28,19,33,1,0.0
29,19,29,3,0.0
30,20,24,2,5.0
31,20,49,2,5.0
32,21,29,2,20.0
33,21,31,3,10.0
34,21,59,3,10.0
35,22,34,2,20.0
36,23,60,2,5.0
37,23,35,2,10.0
38,24,59,1,0.0
39,25,57,1,0.0
40,25,43,1,10.0
41,26,16,1,5.0
42,26,34,1,5.0
43,26,20,3,15.0
44,27,7,1,10.0
45,27,13,4,0.0
46,27,8,2,10.0
47,28,17,1,15.0
48,29,42,1,0.0
49,30,1,1,20.0
50,30,27,4,5.0
51,31,8,1,0.0
52,31,21,3,10.0
53,32,6,2,0.0
54,33,46,3,0.0
55,33,28,3,20.0
56,34,54,2,10.0
57,34,7,2,10.0
58,35,30,2,5.0
59,35,54,1,15.0
60,36,18,1,10.0
61,36,19,2,10.0
62,37,2,2,5.0
63,37,16,2,5.0
64,38,53,1,5.0
65,39,49,2,5.0
66,39,15,2,0.0
67,40,56,1,10.0
68,41,48,3,10.0
69,41,54,2,5.0
70,42,17,1,0.0
71,43,35,1,5.0
72,44,11,1,15.0
73,44,54,1,5.0
74,45,34,1,15.0
75,45,43,3,10.0
76,46,57,3,10.0
77,46,15,1,15.0
78,46,40,2,10.0
79,47,20,5,5.0
80,47,12,4,5.0
81,48,14,1,10.0
82,49,31,1,15.0
83,49,59,1,5.0
84,49,58,3,15.0
85,50,28,4,15.0
86,50,8,2,15.0
87,50,42,1,5.0
88,51,43,2,10.0
89,52,40,1,5.0
90,53,53,5,10.0
91,54,4,1,10.0
92,55,37,2,5.0
93,55,4,3,0.0
94,56,60,2,0.0
95,57,17,1,20.0
96,57,49,1,20.0
97,58,31,2,0.0
98,59,45,1,15.0
99,59,59,1,15.0
100,59,50,2,0.0
101,60,54,3,5.0
102,61,8,1,0.0
103,61,30,5,15.0
104,61,11,2,10.0
105,61,56,1,5.0
106,62,36,1,15.0
107,62,39,1,0.0
108,62,53,1,0.0
109,62,13,1,0.0
110,63,36,1,20.0
111,63,11,4,15.0
112,64,18,1,5.0
113,65,26,1,10.0
114,65,31,1,5.0
115,66,46,4,20.0
116,67,50,3,5.0
117,67,23,1,10.0
118,68,19,1,15.0
119,69,38,1,10.0
120,69,36,2,10.0
121,69,31,2,10.0
122,70,32,1,15.0
123,71,15,1,10.0
124,71,1,1,5.0
125,71,56,2,20.0
126,72,4,1,5.0
127,73,53,1,0.0
128,74,49,3,5.0
129,74,33,4,5.0
130,75,17,4,5.0
131,75,14,1,10.0
132,76,30,3,15.0
133,76,11,1,5.0
134,77,54,1,5.0
135,78,10,1,10.0
136,79,55,5,0.0
137,80,16,4,0.0
138,80,1,2,10.0
139,80,13,2,10.0
140,81,46,1,5.0
141,81,7,4,5.0
142,82,23,2,0.0
143,83,59,3,10.0
144,84,21,1,10.0
145,85,24,1,0.0
146,86,6,4,10.0
147,87,15,1,15.0
148,88,35,1,0.0
149,89,40,1,5.0
150,90,41,3,15.0
151,91,11,1,0.0
152,92,46,3,15.0
153,93,19,2,0.0
154,93,33,4,5.0
155,94,27,2,0.0
156,95,50,3,15.0
157,96,35,1,10.0
158,97,55,1,0.0
159,98,7,1,15.0
160,99,45,1,5.0
161,100,45,3,0.0
162,101,36,1,5.0
163,101,31,2,10.0
164,102,51,3,0.0
165,102,42,2,10.0
166,102,8,3,0.0
167,103,37,2,0.0
168,103,30,1,5.0
169,104,8,1,5.0
170,105,57,1,20.0
171,105,40,1,5.0
172,106,58,3,5.0
173,106,51,3,0.0
174,107,56,1,10.0
175,107,20,1,10.0
176,108,50,2,10.0
177,108,35,1,0.0
178,109,60,4,10.0
179,110,11,1,15.0
